family,feature_set_id,feature_set_label,features,target_id,target,target_title,model,model_label,validation,n,mae,rmse,r2
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,XGBoost,XGBoost,Internal balanced 5-fold CV,30,8.437555271911622,11.237784709086235,0.9158711149549073
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,XGBoost,XGBoost,External validation,8,30.454635734558106,35.881500068511556,-1.5910077741415276
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,ExtraTrees,Extra Trees,Internal balanced 5-fold CV,30,9.119274976851797,10.951540932455938,0.920102318080267
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,ExtraTrees,Extra Trees,External validation,8,20.049223302083476,22.144832879838813,0.013101819094251121
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,RandomForest,Random forest,Internal balanced 5-fold CV,30,9.600889919430402,11.519160383107607,0.9116054746840798
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,RandomForest,Random forest,External validation,8,28.4083979769496,33.514085310658686,-1.2603842670982695
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,GradientBoosting,Gradient boosting,Internal balanced 5-fold CV,30,9.620292468465474,11.364240834319293,0.9139670973939721
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,GradientBoosting,Gradient boosting,External validation,8,31.851223194012633,38.21628947902873,-1.939169079154262
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_stress,log10_break_stress_Pa,LAOS breaking stress,GPR_Matern_ARD,GPR-Matern-ARD,Internal balanced 5-fold CV,30,0.039999936639483515,0.049744488391592095,0.9918006842015237
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_stress,log10_break_stress_Pa,LAOS breaking stress,GPR_Matern_ARD,GPR-Matern-ARD,External validation,8,0.08934127380246754,0.14987098258606105,0.8171803997395296
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_stress,log10_break_stress_Pa,LAOS breaking stress,KernelRidge_RBF,KRR-RBF,Internal balanced 5-fold CV,30,0.07746899289444971,0.13166377734919024,0.9425592241113749
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_stress,log10_break_stress_Pa,LAOS breaking stress,KernelRidge_RBF,KRR-RBF,External validation,8,0.08683957078526286,0.16926847582251672,0.7667939500293475
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_stress,log10_break_stress_Pa,LAOS breaking stress,SVR_RBF,SVR-RBF,Internal balanced 5-fold CV,30,0.04457574606305119,0.0595585130124833,0.9882462792336695
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_stress,log10_break_stress_Pa,LAOS breaking stress,SVR_RBF,SVR-RBF,External validation,8,0.08686622689550488,0.15261495061365285,0.810424676097586
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_stress,log10_break_stress_Pa,LAOS breaking stress,Ridge,Ridge,Internal balanced 5-fold CV,30,0.0877027262095559,0.12260959586983249,0.9501876996159946
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_stress,log10_break_stress_Pa,LAOS breaking stress,Ridge,Ridge,External validation,8,0.10644018610058323,0.16747804103248062,0.7717013252547696
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_stress,log10_break_stress_Pa,LAOS breaking stress,XGBoost,XGBoost,Internal balanced 5-fold CV,30,0.09679574746403194,0.11836408063340093,0.953577605836806
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_stress,log10_break_stress_Pa,LAOS breaking stress,XGBoost,XGBoost,External validation,8,0.0825312869234672,0.11433017755238396,0.893607895003944
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_stress,log10_break_stress_Pa,LAOS breaking stress,ExtraTrees,Extra Trees,Internal balanced 5-fold CV,30,0.07777306299490241,0.09966979098655078,0.9670834150464543
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_stress,log10_break_stress_Pa,LAOS breaking stress,ExtraTrees,Extra Trees,External validation,8,0.0967785279488883,0.1519286910892553,0.8121257593440827
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_stress,log10_break_stress_Pa,LAOS breaking stress,RandomForest,Random forest,Internal balanced 5-fold CV,30,0.10707108622173354,0.13566621266055148,0.9390138695033166
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_stress,log10_break_stress_Pa,LAOS breaking stress,RandomForest,Random forest,External validation,8,0.09133816818105758,0.13914291331417505,0.8424168309289988
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_stress,log10_break_stress_Pa,LAOS breaking stress,GradientBoosting,Gradient boosting,Internal balanced 5-fold CV,30,0.07415038575814316,0.08946417995941594,0.9734792349922755
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_stress,log10_break_stress_Pa,LAOS breaking stress,GradientBoosting,Gradient boosting,External validation,8,0.09699728021185311,0.15234798652913026,0.8110873311991551
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_strain,break_strain_pct,LAOS breaking strain,GPR_Matern_ARD,GPR-Matern-ARD,Internal balanced 5-fold CV,30,10.206367640860956,11.602304880975163,0.91032481839794
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_strain,break_strain_pct,LAOS breaking strain,GPR_Matern_ARD,GPR-Matern-ARD,External validation,8,14.98177599193916,17.457259479799024,0.38669053289442057
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_strain,break_strain_pct,LAOS breaking strain,KernelRidge_RBF,KRR-RBF,Internal balanced 5-fold CV,30,10.583207655762061,13.609422465932354,0.8766147886671093
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_strain,break_strain_pct,LAOS breaking strain,KernelRidge_RBF,KRR-RBF,External validation,8,21.548500604086733,23.334150222363096,-0.09575008525310169
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_strain,break_strain_pct,LAOS breaking strain,SVR_RBF,SVR-RBF,Internal balanced 5-fold CV,30,18.565789018225136,23.93361825198349,0.6184069668369796
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_strain,break_strain_pct,LAOS breaking strain,SVR_RBF,SVR-RBF,External validation,8,15.949413800604392,17.66203107457031,0.37221805213357384
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_strain,break_strain_pct,LAOS breaking strain,Ridge,Ridge,Internal balanced 5-fold CV,30,11.548628944666039,13.93075253550558,0.8707195447138482
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_strain,break_strain_pct,LAOS breaking strain,Ridge,Ridge,External validation,8,19.67725601875151,22.116223827879953,0.01565013214792954
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_strain,break_strain_pct,LAOS breaking strain,XGBoost,XGBoost,Internal balanced 5-fold CV,30,9.385510060119628,12.143069747660036,0.90177077968308
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_strain,break_strain_pct,LAOS breaking strain,XGBoost,XGBoost,External validation,8,28.860331411361695,34.46199871353506,-1.3900580976916213
laos,formulation_Gp1Hz,formulation + $G'$ 1 Hz,"yp_pct,xanthan_pct,log10_Gp_1Hz",break_strain,break_strain_pct,LAOS breaking strain,ExtraTrees,Extra Trees,Internal balanced 5-fold CV,30,9.22307690634111,11.009600013310731,0.9192529248932141
